Gender,Height,Weight
Male,74,242
Male,69,162
Male,74,213
Male,72,220
Male,70,206
Male,67,152
Male,69,184
Male,68,168
Male,67,176
Male,63,156
Male,71,187
Male,72,214
Male,65,167
Male,69,189
Male,69,186
Male,68,172
Male,72,196
Male,64,173
Male,70,186
Male,68,182
Male,68,174
Male,69,198
Male,66,149
Male,75,229
Male,68,162
Male,68,192
Male,69,184
Male,73,207
Male,67,175
Male,68,154
Male,69,188
Male,74,213
Male,72,195
Male,69,205
Male,70,204
Male,70,193
Male,69,197
Male,67,184
Male,66,164
Male,64,163
Male,68,172
Male,72,194
Male,65,169
Male,66,161
Male,68,165
Male,70,189
Male,68,187
Male,72,209
Male,69,192
Male,73,211
Male,65,166
Male,70,201
Male,68,173
Male,67,181
Male,67,170
Male,66,163
Male,68,190
Male,71,192
Male,71,198
Male,70,210
Male,71,199
Male,70,198
Male,74,195
Male,67,165
Male,71,180
Male,65,155
Male,68,185
Male,73,221
Male,68,183
Male,69,196
Male,69,185
Male,71,208
Male,70,177
Male,68,163
Male,73,216
Male,71,205
Male,72,201
Male,72,221
Male,67,196
Male,66,169
Male,68,181
Male,68,199
Male,74,238
Male,70,173
Male,66,161
Male,71,189
Male,67,208
Male,69,193
Male,68,174
Male,72,197
Male,72,202
Male,65,181
Male,71,182
Male,65,178
Male,67,165
Male,65,166
Male,72,193
Male,67,181
Male,66,173
Male,69,177
Male,70,201
Male,67,168
Male,66,154
Male,68,178
Male,70,184
Male,69,179
Male,68,159
Male,66,167
Male,69,172
Male,68,174
Male,69,188
Male,68,201
Male,72,205
Male,69,179
Male,67,164
Male,74,223
Male,70,203
Male,68,189
Male,68,178
Male,72,223
Male,64,167
Male,69,180
Male,67,164
Male,63,150
Male,72,193
Male,71,202
Male,68,180
Male,71,196
Male,69,188
Male,66,172
Male,67,192
Male,66,166
Male,71,186
Male,68,178
Male,64,151
Male,71,210
Male,68,174
Male,68,180
Male,68,168
Male,68,183
Male,69,170
Male,66,173
Male,66,181
Male,67,184
Male,69,206
Male,71,184
Male,71,202
Male,71,216
Male,66,159
Male,73,210
Male,67,179
Male,65,147
Male,71,196
Male,70,170
Male,65,170
Male,69,198
Male,69,180
Male,62,147
Male,69,177
Male,65,185
Male,64,177
Male,69,170
Male,72,199
Male,67,203
Male,67,193
Male,65,178
Male,66,163
Male,68,159
Male,66,172
Male,70,202
Male,68,170
Male,72,205
Male,68,170
Male,72,200
Male,66,179
Male,67,168
Male,68,178
Male,68,193
Male,65,162
Male,67,183
Male,68,181
Male,70,211
Male,66,166
Male,67,196
Male,72,202
Male,68,170
Male,70,202
Male,72,193
Male,66,180
Male,67,156
Male,77,235
Male,73,231
Male,70,204
